flight_id,flight_number,aircraft_type,origin_airport,origin_city,origin_lat,origin_lon,destination_airport,destination_city,destination_lat,destination_lon,flight_date,seats_total,seats_sold,fare_avg,ingreso_vuelo,delay_minutes,delay_cause,status,is_cancelled
F700000,AC3672,Airbus A320,BCN,Barcelona,41.2974,2.0833,PMI,PALMA,39.5517,2.7388,2025-03-10,180,141,176.33,24862.53,9,Sin retraso,Completado,False
F700001,AC6738,Airbus A321,BCN,Barcelona,41.2974,2.0833,NCE,Niza,43.6584,7.2159,2023-08-07,220,201,59.79,12017.79,3,Sin retraso,Completado,False
F700002,AC9282,Airbus A321,MAD,Madrid,40.4983,-3.5676,LGW,Londres,51.1537,-0.1821,23/04/2023,220,192,35.16,6750.72,28,Trafico Aereo,Completado,False
F700003,AC7799,Airbus A321,MAD,Madrid,40.4983,-3.5676,LYS,Lyon,45.7256,5.0811,2023-03-11,220,192,131.32,25213.44,23,Tecnica,Completado,False
F700004,AC2321,Airbus A320,BCN,Barcelona,41.2974,2.0833,LGW,Londres,51.1537,-0.1821,2025-04-17,180,128,43.76,5601.28,9,Sin retraso,Desviado,False
F700005,AC9823,Airbus A320,MAD,madrid,40.4983,-3.5676,NCE,Niza,43.6584,7.2159,2023-08-25,180,153,105.70,16172.10,25,tecnica,Completado,False
F700006,AC5953,Airbus A320,MAD,Madrid,40.4983,-3.5676,OPO,Oporto,41.2481,-8.6814,20/02/2024,180,113,132.42,14963.46,78,Trafico Aereo,Completado,False
F700007,AC1011,Airbus A320,LIS,lisboa,38.7813,-9.1359,MUC,Munich,48.3538,11.7861,23/05/2023,180,136,70.21,9548.56,24,Tecnica,Completado,False
F700008,AC8437,Airbus A320,MAD,Madrid,40.4983,-3.5676,BCN,Barcelona,41.2974,2.0833,2023-01-08,180,163,114.63,18684.69,0,Sin retraso,Completado,False
F700009,AC9763,Airbus A321,BCN,Barcelona,41.2974,2.0833,MUC,Munich,48.3538,11.7861,6-13-24,220,194,105.49,20465.06,66,Meteorologia,Completado,False
F700010,AC6366,Airbus A320,MAD,Madrid,40.4983,-3.5676,FCO,Roma,41.8003,12.2389,2024-08-17,180,123,112.40,19279.36,0,Sin retraso,Completado,False
F700011,AC5532,Airbus A321,MAD,Madrid,40.4983,-3.5676,LYS,Lyon,45.7256,5.0811,2024-09-18,220,161,100.14,16122.54,0,Sin retraso,Completado,False
F700012,AC4753,Airbus A320,MAD,Madrid,40.4983,-3.5676,PMI,Palma,39.5517,2.7388,5-23-25,180,158,128.20,20255.60,1,Sin retraso,Completado,False
F700013,AC3649,Airbus A320,BCN,Barcelona,41.2974,2.0833,NAP,Napoles,40.8860,14.2908,2023-06-16,180,130,159.73,20764.90,2,Sin retraso,Completado,False
F700014,AC6707,Airbus A320,BCN,Barcelona,41.2974,2.0833,MAD,Madrid,40.4983,-3.5676,06/03/2025,180,121,143.92,17414.32,26,Operativa,Completado,False
F700015,AC9987,,LIS,Lisboa,38.7813,-9.1359,LYS,Lyon,45.7256,5.0811,2023-01-15,220,195,57.50,16103.75,36,METEOROLOGIA,Completado,False
F700016,AC8840,Airbus A321,MAD,Madrid,40.4983,-3.5676,ORY,Paris,48.7233,2.3794,2023-04-15,220,180,93.46,16822.80,1,Sin retraso,Completado,False
F700017,AC6105,,LIS,Lisboa,38.7813,-9.1359,FCO,Roma,41.8003,12.2389,2023-10-15,180,160,109.48,17516.80,20,Tecnica,Completado,False
F700018,AC5835,Airbus A320,LIS,Lisboa,38.7813,-9.1359,FCO,Roma,41.8003,12.2389,2023-06-10,180,153,122.37,18722.61,0,Sin retraso,Completado,False
F700019,AC5801,Airbus A320,LIS,Lisboa,38.7813,-9.1359,BER,Berlin,52.3667,13.5033,2024-09-18,180,111,60.14,6675.54,10,Sin retraso,Cancelado,True
F700020,AC9887,Airbus A320,BCN,Barcelona,41.2974,2.0833,MUC,Munich,48.3538,11.7861,2023-08-15,180,104,96.04,9988.16,13,Sin retraso,Cancelado,True
F700021,AC4428,Airbus A321,BCN,Barcelona,41.2974,2.0833,MUC,Munich,48.3538,11.7861,2024-08-28,220,155,177.16,27459.80,0,Sin retraso,Completado,False
F700022,AC4091,Airbus A320,MAD,Madrid,40.4983,-3.5676,NAP,Napoles,40.8860,14.2908,2025-05-04,180,147,134.06,19706.82,17,Meteorologia,Completado,False
F700023,AC8393,,BCN,BARCELONA,41.2974,2.0833,NCE,Niza,43.6584,7.2159,2023-08-12,180,115,53.23,6121.45,19,Trafico Aereo,Completado,False
F700024,AC2160,Airbus A321,LIS,Lisboa,38.7813,-9.1359,AGP,Malaga,36.6749,-4.4991,2023-02-13,220,149,97.89,14585.61,71,Operativa,Completado,False
